نماد,بیشترین
پست0307پ09,3975000
سكه0412پ03,2948888
سكه0211پ02,2947376
سكه0312پ01,2942000
سكه0411پ05,2939990
سكه0310پ04,2939000
تسه0010,1238000
تسه1400,1230000
تسه1401,1219000
تسه0011,1218979
