نماد,ارزش
اراد1454,38666923750000
اراد344,29939052187560
اخزا0054,24899566355104
اراد1204,8765698801500
اعتماد,4254600413040
ياقوت,3515977416255
وبصادر2,3487004584550
افران,3465660863540
كارا,3036044993743
كارا4,2102586500000
