نماد,بیشترین
پست0307پ09,3975000
سكه0211پ02,2986931
سكه0312پ01,2980000
سكه0310پ04,2979000
سكه0412پ03,2975900
سكه0411پ05,2975000
تسه1400,1274074
تسه1402,1230000
تسه1401,1230000
تسه0010,1229990
