نماد,ارزش
اراد126,12285060100000
اعتماد,4830000028365
كارين4,3999987040000
بپاس2,3504900000000
افران,3079090255171
ياقوت,2913190754977
اهرم,2854168929260
كارا,2806471365388
وپاسار2,2583167282530
سپر4,2577189978846
