نماد,ارزش
كارا,9213107217624
اراد120,6240000000000
افران,5714837922654
اعتماد,5589165328948
ياقوت,4639656385699
هامرز4,4305807643032
كارين4,3999994240000
اعتماد4,3626030286440
اراد46,3420000000000
ثبات4,3399250516000
