نماد,بیشترین
پست0307پ09,3950000
سكه0310پ04,2955000
سكه0411پ05,2949999
سكه0412پ03,2949000
سكه0211پ02,2949000
سكه0312پ01,2947899
تسه0011,1222690
تسه1402,1220000
تسه1401,1220000
تسه0010,1220000
