نماد,بیشترین
پست0307پ09,3990000
سكه0412پ03,2949889
سكه0411پ05,2949499
سكه0211پ02,2949000
سكه0310پ04,2948000
سكه0312پ01,2944399
تسه1402,1200000
تسه1401,1200000
تسه1400,1200000
تسه0010,1198000
