نماد,ارزش
اراد1274,424290895588800
اراد1264,112479920252635
اخزا0114,84516939577700
اراد874,82705955125178
اراد1314,69607828254152
اراد1324,68522354262000
اراد1174,66648913100000
اخزا0064,62930272016304
اراد1214,58332925440000
اراد1224,54087778780000
