نماد,ارزش
اراد344,29891501210516
اخزا0054,24889553715394
انتخاب04,10000000000000
اراد1114,9926782680000
اراد1204,8785628566242
افران,6528748331166
شهر4,5865642706248
ياقوت,5585203095670
صزاگرس07,5000000000000
صزاگرس71,5000000000000
