نماد,بیشترین
پست0307پ09,3950000
سكه0312پ01,2985000
سكه0412پ03,2979758
سكه0211پ02,2978900
سكه0310پ04,2977203
سكه0411پ05,2975988
رويش,2400000
تسه1400,1279443
تسه1402,1260000
تسه0010,1260000
