نماد,ارزش
اراد344,29922842707548
اخزا0054,24902498180313
اراد1204,8775882415116
ياقوت,5521695017303
افران,5393234333756
كارا,4482786317008
اعتماد,4291975449782
هامرز4,4160735040000
شستان03,3984214500000
اهرم,3619838332400
