نماد,بیشترین
پست0307پ09,3950000
سكه0312پ01,2949999
سكه0211پ02,2948500
سكه0412پ03,2948000
سكه0310پ04,2945000
سكه0411پ05,2938001
تسه0011,1228787
تسه1401,1225886
تسه0010,1220000
تسه1402,1215000
