 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1402/10/10,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
شگستر,گسترش سوخت سبززاگرس(سهامي عام),10691,786472472,1270094019499,1000,1600,1648,648,64.8,1615,615,61.5,1570,1648
ضخود1122,اختيارخ خودرو-3000-1402/11/11,7168,2250449,195021957000,103,100,78,-25,-24.27,87,-16,-15.53,73,105
اهرم,صندوق س سهامي كاريزما- اهرمي,6976,90621952,1913855377180,21390,21250,21150,-240,-1.12,21120,-270,-1.26,21000,21280
ياقوت,صندوق س ياقوت آگاه-ثابت,6945,166166052,3515977416255,21145,21159,21160,15,0.07,21159,14,0.07,21159,21161
دارا يكم,صندوق واسطه گري مالي يكم-سهام,6414,5985758,1092221089030,183250,182600,183460,210,0.11,182470,-780,-0.43,181520,183560
ثپرديس,سرمايه گذاري مسكن پرديس,5884,47596379,1123321526650,22400,23950,23950,1550,6.92,23600,1200,5.36,22850,23950
پالايش,صندوق پالايشي يكم-سهام,5800,3234337,465114405020,144920,144020,144130,-790,-0.55,143810,-1110,-0.77,143380,144710
خزاميا,زامياد,5563,58460218,357045243410,6220,6200,6080,-140,-2.25,6110,-110,-1.77,6050,6240
ضسپا1002,اختيارخ خساپا-2600-1402/10/20,5455,1916174,73212344000,59,52,31,-28,-47.46,38,-21,-35.59,25,56
ثشاهد,سرمايه‌ گذاري‌ شاهد,5302,33337985,578870118790,17740,17800,17260,-480,-2.71,17360,-380,-2.14,17130,17850
دي,بانك دي,5272,489222541,527593701539,1076,1079,1079,3,0.28,1078,2,0.19,1076,1081
افران,صندوق س افرا نماد پايدار-ثابت,5100,145412038,3465660863540,23814,23833,23833,19,0.08,23833,19,0.08,23833,23834
خنصير,مهندسي‌نصيرماشين‌,5053,46032398,574090863300,11810,11970,12630,820,6.94,12470,660,5.59,11970,12630
كرمان,س. توسعه و عمران استان كرمان,4970,185700116,250640594191,1392,1365,1351,-41,-2.95,1350,-42,-3.02,1332,1400
تسه1402,امتيازتسهيلات مسكن سال1402,4838,336173,415853994919,1219254,1220000,1255000,35746,2.93,1237024,17770,1.46,1220000,1260000
فصبا,صبا فولاد خليج فارس,4771,1960903,12598094010,6490,6490,6430,-60,-0.92,6480,-10,-0.15,6400,6490
وبصادر,بانك صادرات ايران,4572,383577987,735492524988,1927,1928,1903,-24,-1.25,1917,-10,-0.52,1895,1940
