 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1402/10/5,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
ثشاهد,سرمايه‌ گذاري‌ شاهد,8822,56141294,937681897490,17480,17010,16430,-1050,-6.01,16700,-780,-4.46,16380,17310
كروميت,توسعه معادن كروميت كاوندگان,8637,48878869,644954709330,12600,12900,13230,630,5,13190,590,4.68,12860,13230
اهرم,صندوق س سهامي كاريزما- اهرمي,8142,99709575,2083806625290,21090,21050,20760,-330,-1.56,20900,-190,-0.9,20740,21060
كرمان,س. توسعه و عمران استان كرمان,7945,309393122,424331252784,1385,1353,1380,-5,-0.36,1371,-14,-1.01,1316,1417
وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,7515,421415982,967189752206,2168,2168,2319,151,6.96,2295,127,5.86,2105,2319
وبملت,بانك ملت,7373,312567428,1500795841600,4831,4830,4780,-51,-1.06,4802,-29,-0.6,4779,4835
فصبا,صبا فولاد خليج فارس,6997,4128448,26505709500,6530,6470,6420,-110,-1.68,6510,-20,-0.31,6400,6490
پالايش,صندوق پالايشي يكم-سهام,6935,4081577,586835275390,145740,145000,143320,-2420,-1.66,143780,-1960,-1.34,143100,145180
افران,صندوق س افرا نماد پايدار-ثابت,6707,303172171,7200733774463,23735,23751,23752,17,0.07,23751,16,0.07,23751,23752
دارا يكم,صندوق واسطه گري مالي يكم-سهام,6395,4136338,740569868620,182380,181000,177990,-4390,-2.41,179040,-3340,-1.83,177910,181000
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6066,136091993,632372687904,4772,4701,4595,-177,-3.71,4647,-125,-2.62,4590,4750
ياقوت,صندوق س ياقوت آگاه-ثابت,6055,169777660,3580514345966,21075,21089,21090,15,0.07,21089,14,0.07,21089,21091
تسه1402,امتيازتسهيلات مسكن سال1402,5996,359324,435832503326,1205806,1197007,1214205,8399,0.7,1212923,7117,0.59,1197007,1215000
فاذر,صنايع‌ آذرآب‌,5807,318525373,596330175005,1965,1869,1885,-80,-4.07,1872,-93,-4.73,1867,1920
زماهان,مجتمع توليد گوشت مرغ ماهان,5453,33768168,430840493910,12180,13020,12450,270,2.22,12760,580,4.76,12320,13030
كساپاح,ح . سايپاشيشه‌,5043,51191123,466925104520,9280,9190,9090,-190,-2.05,9120,-160,-1.72,8600,9470
جهش,صندوق سهامي جهش فارابي-اهرمي,5015,45254672,540519173260,12330,12250,11760,-570,-4.62,11940,-390,-3.16,11680,12280
شتاب,صندوق س سهامي شتاب آگاه-اهرمي,4907,49181070,494033630270,10150,10140,9990,-160,-1.58,10050,-100,-0.99,9960,10140
فرود,فولاد شاهرود,4585,66739263,324816156539,5069,5010,4816,-253,-4.99,4867,-202,-3.99,4816,5043
خزاميا,زامياد,4577,68295947,426834445940,6400,6350,6150,-250,-3.91,6250,-150,-2.34,6120,6420
دي,بانك دي,4543,344142575,367758376610,1067,1068,1067,0,0,1069,2,0.19,1063,1075
ضخود1074,اختيارخ خودرو-2600-1402/10/06,4482,1120578,142463267000,166,154,103,-63,-37.95,127,-39,-23.49,102,154
خودرو,ايران‌ خودرو,4467,168546657,461223039240,2772,2755,2718,-54,-1.95,2736,-36,-1.3,2704,2770
طخود1075,اختيارف خودرو-2800-1402/10/06,4169,1664497,114896166000,54,60,72,18,33.33,69,15,27.78,54,87
فلوله,لوله‌وماشين‌سازي‌ايران‌,4130,91649158,357380144857,4150,4066,3860,-290,-6.99,3899,-251,-6.05,3860,4145
تكاردان,تامين سرمايه كاردان,4064,5052023,13319503750,2675,2664,2629,-46,-1.72,2656,-19,-0.71,2608,2675
فن افزار,توسعه فن افزار توسن,4033,7823368,108628035590,13650,14330,13850,200,1.47,13890,240,1.76,13640,14330
سصفها,سيمان‌اصفهان‌,3990,3086045,336433958260,107970,105030,107860,-110,-0.1,109020,1050,0.97,105030,111990
فولاد,فولاد مباركه اصفهان,3980,76730771,476493645930,6270,6230,6200,-70,-1.12,6210,-60,-0.96,6170,6270
شهر,گروه مالي شهر,3897,54819276,110779722811,2079,2069,2009,-70,-3.37,2021,-58,-2.79,2005,2078
شستا,سرمايه گذاري تامين اجتماعي,3894,229125545,289092438056,1273,1262,1259,-14,-1.1,1262,-11,-0.86,1242,1270
ضخود1075,اختيارخ خودرو-2800-1402/10/06,3779,1377268,17326170000,23,14,7,-16,-69.57,13,-10,-43.48,6,19
خساپا,سايپا,3717,141198495,351026226684,2545,2510,2467,-78,-3.06,2486,-59,-2.32,2460,2545
ونوين,بانك‌اقتصادنوين‌,3619,98471223,596687344920,5830,5830,6020,190,3.26,6060,230,3.95,5780,6120
حآسا,آسيا سير ارس,3606,20255602,230435002240,11610,12000,11080,-530,-4.57,11380,-230,-1.98,11030,12000
ضسپا1002,اختيارخ خساپا-2600-1402/10/20,3519,1158722,64282575000,92,70,48,-44,-47.83,55,-37,-40.22,45,70
بمولد,مولد نيروگاهي تجارت فارس,3446,8506212,46078407590,5540,5500,5350,-190,-3.43,5420,-120,-2.17,5340,5500
ثپرديس,سرمايه گذاري مسكن پرديس,3422,33237789,653264564990,18460,19300,19750,1290,6.99,19650,1190,6.45,18810,19750
