 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1402/10/9,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اهرم,صندوق س سهامي كاريزما- اهرمي,13886,169217134,3619838332400,21100,21580,21130,30,0.14,21390,290,1.37,21080,21810
ياقوت,صندوق س ياقوت آگاه-ثابت,11434,261132199,5521695017303,21117,21145,21146,29,0.14,21145,28,0.13,21145,21147
حفارس,حمل و نقل بين المللي خليج فارس,10251,715665409,1437830199036,1915,2010,2000,85,4.44,2009,94,4.91,1990,2010
دارا يكم,صندوق واسطه گري مالي يكم-سهام,10116,8272462,1515934757670,178760,182590,183600,4840,2.71,183250,4490,2.51,181720,184890
ثشاهد,سرمايه‌ گذاري‌ شاهد,9774,68284768,1211143431780,16830,16990,17560,730,4.34,17740,910,5.41,16990,18000
پالايش,صندوق پالايشي يكم-سهام,7704,4322501,626408038880,144140,145550,144150,10,0.01,144920,780,0.54,144010,146490
افران,صندوق س افرا نماد پايدار-ثابت,6958,226470025,5393234333756,23791,23814,23815,24,0.1,23814,23,0.1,23814,23815
دي,بانك دي,6946,534476403,575200444909,1073,1090,1075,2,0.19,1076,3,0.28,1074,1090
ضخود1122,اختيارخ خودرو-3000-1402/11/11,6920,2229752,230144913000,98,107,97,-1,-1.02,103,5,5.1,93,119
خزاميا,زامياد,6597,50571803,314756636130,6200,6280,6180,-20,-0.32,6220,20,0.32,6130,6360
نطرين,عطرين نخ قم,6235,27003971,556126442310,19280,20090,20620,1340,6.95,20590,1310,6.79,19980,20620
فصبا,صبا فولاد خليج فارس,5960,4966718,32297319000,6490,6380,6500,10,0.15,6490,0,0,6370,6590
تسه1402,امتيازتسهيلات مسكن سال1402,5661,399148,486662745516,1214088,1214000,1228999,14911,1.23,1219254,5166,0.43,1200020,1230000
هاي وب,داده گسترعصرنوين-هاي وب,5417,181237551,406056124294,2123,2269,2226,103,4.85,2240,117,5.51,2220,2271
شتاب,صندوق س سهامي شتاب آگاه-اهرمي,5226,65846465,674524217280,10100,10250,10170,70,0.69,10240,140,1.39,10150,10370
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,5099,105034096,490371910620,4657,4682,4630,-27,-0.58,4669,12,0.26,4599,4765
طلا,صندوق س.پشتوانه طلاي لوتوس,4790,2906062,568997251001,194377,196286,196110,1733,0.89,195797,1420,0.73,195000,196300
شستا,سرمايه گذاري تامين اجتماعي,4578,289306277,366723868248,1264,1253,1261,-3,-0.24,1268,4,0.32,1253,1280
وسديد,گروه ‌صنعتي‌سديد,4438,129401289,719179580090,5505,5670,5340,-165,-3,5560,55,1,5340,5670
خودرو,ايران‌ خودرو,4405,232527644,638962299616,2724,2743,2736,12,0.44,2748,24,0.88,2732,2777
همراه,شركت ارتباطات سيار ايران,4359,107945204,635731809940,5610,5890,5890,280,4.99,5890,280,4.99,5860,5890
عيار,صندوق طلاي عيار مفيد,4291,6312694,459114883768,71925,72400,72926,1001,1.39,72729,804,1.12,72301,73020
جهش,صندوق سهامي جهش فارابي-اهرمي,4291,66932532,824496041040,12030,12400,12200,170,1.41,12320,290,2.41,12170,12540
ضسپا1002,اختيارخ خساپا-2600-1402/10/20,4115,1334775,78417620000,55,67,51,-4,-7.27,59,4,7.27,48,71
شبندر,پالايش نفت بندرعباس,4108,29562408,293408736500,9980,10000,9890,-90,-0.9,9930,-50,-0.5,9870,10050
هماي,صندوق س هماي آگاه-ثابت,4069,188479111,1896134479019,10047,10060,10061,14,0.14,10060,13,0.13,10060,10061
كرمان,س. توسعه و عمران استان كرمان,4039,140019481,194936418811,1378,1379,1373,-5,-0.36,1392,14,1.02,1370,1430
شهر,گروه مالي شهر,3983,56973368,117686327248,1994,2032,2069,75,3.76,2066,72,3.61,2012,2092
هامرز2,صندوق س اعتماد هامرز-ثابت,3860,386000000,386000000,10148,1,1,-10147,-99.99,1,-10147,-99.99,1,1
فولاد,فولاد مباركه اصفهان,3774,65778615,413007029830,6220,6280,6280,60,0.96,6280,60,0.96,6250,6330
ذوب,ذوب آهن اصفهان,3687,96790098,427607669309,4470,4450,4401,-69,-1.54,4418,-52,-1.16,4375,4530
زماهان,مجتمع توليد گوشت مرغ ماهان,3601,24797279,355061653760,13430,14270,14370,940,7,14320,890,6.63,13700,14370
فن افزار,توسعه فن افزار توسن,3589,4735997,67023174800,14260,14450,13980,-280,-1.96,14150,-110,-0.77,13960,14450
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,3569,67718587,4291975449782,63324,63379,63381,57,0.09,63380,56,0.09,63379,63381
وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,3500,107760890,245491498873,2306,2328,2310,4,0.17,2278,-28,-1.21,2224,2347
سصفها,سيمان‌اصفهان‌,3422,2014003,211640086500,106490,107800,104400,-2090,-1.96,105080,-1410,-1.32,103990,108400
كارا,صندوق س. كارا -د,3209,271713211,4482786317008,16469,16498,16498,29,0.18,16498,29,0.18,16498,16499
خاور,ايران خودرو ديزل,3164,97858484,390192738975,3867,3932,3970,103,2.66,3987,120,3.1,3932,4017
ثشرق,سرمايه گذاري مسكن شمال شرق,3153,17595920,583740149310,34620,32890,32890,-1730,-5,33170,-1450,-4.19,32890,34620
شپنا,پالايش نفت اصفهان,3101,43286643,370003012620,8570,8650,8530,-40,-0.47,8550,-20,-0.23,8510,8650
كاما,باما,3072,68612127,335721201955,4717,4786,5009,292,6.19,4893,176,3.73,4730,5040
شتران,پالايش نفت تهران,3049,49677250,216958629599,4362,4365,4345,-17,-0.39,4367,5,0.11,4339,4413
موج,ص.س.اهرمي موج فيروزه-س,3035,31369590,426680617166,13344,13601,13425,81,0.61,13602,258,1.93,13412,13862
ثامان,سامان‌ گستراصفهان‌,2854,8382340,169567184980,20860,21010,20010,-850,-4.07,20230,-630,-3.02,19980,21320
توان,صندوق س. اهرمي توان مفيد-س,2853,19474048,369773004681,18675,18960,18880,205,1.1,18988,313,1.68,18812,19170
وخارزم,سرمايه گذاري خوارزمي,2835,95574958,189911013372,1984,2012,1970,-14,-0.71,1987,3,0.15,1967,2030
فملي,ملي‌ صنايع‌ مس‌ ايران‌,2791,71935343,538674034190,7490,7500,7480,-10,-0.13,7490,0,0,7460,7550
آگاس,صندوق س.هستي بخش آگاه-س,2778,8257028,1095328784978,131755,132501,132259,504,0.38,132654,899,0.68,132000,133900
خساپا,سايپا,2732,102970696,259340898819,2509,2540,2508,-1,-0.04,2519,10,0.4,2504,2547
حآفرين,ريل پرداز نو آفرين,2716,62916758,156591137592,2468,2518,2480,12,0.49,2489,21,0.85,2450,2547
كيان,صندوق س. با درآمد ثابت كيان,2693,44078804,2193310187039,49711,49759,49759,48,0.1,49759,48,0.1,49755,49760
صايند,صندوق س. گنجينه آينده روشن-د,2691,99656991,1419976227727,14232,14248,14249,17,0.12,14249,17,0.12,14248,14249
خرينگ,رينگ‌سازي‌مشهد,2625,15123770,279634407180,17410,18520,18370,960,5.51,18490,1080,6.2,18120,18620
وتجارت,بانك تجارت,2598,113167480,273932969448,2415,2416,2409,-6,-0.25,2421,6,0.25,2398,2469
ثبهساز,بهساز كاشانه تهران,2586,43643778,133481279312,3011,3020,3034,23,0.76,3058,47,1.56,3020,3099
تكاردان,تامين سرمايه كاردان,2585,4759703,12589024722,2632,2631,2619,-13,-0.49,2638,6,0.23,2617,2669
كروميت,توسعه معادن كروميت كاوندگان,2519,11997782,172757840560,13720,14400,14400,680,4.96,14400,680,4.96,14200,14400
خنصير,مهندسي‌نصيرماشين‌,2436,15160798,179033055870,11410,11710,11970,560,4.91,11810,400,3.51,11700,11970
ثغرب,شركت سرمايه گذاري مسكن شمالغرب,2394,27798897,394655678310,13320,14100,14200,880,6.61,14200,880,6.61,13650,14250
لبخند,صندوق س. لبخند فارابي-د,2391,143804457,1963282485915,13634,13652,13653,19,0.14,13652,18,0.13,13652,13653
آوند,صندوق س. آوند مفيد-د,2340,99467342,1359245871951,13655,13665,13666,11,0.08,13665,10,0.07,13665,13666
فرود,فولاد شاهرود,2338,26628202,131469926065,4882,4909,4870,-12,-0.25,4937,55,1.13,4857,5040
كپشير,پشم‌شيشه‌ايران‌,2332,21078460,194333651930,9640,9390,9150,-490,-5.08,9220,-420,-4.36,9110,9390
كالا,بورس كالاي ايران,2316,15301909,146052790210,9490,9500,9500,10,0.11,9540,50,0.53,9370,9820
نوري,پتروشيمي نوري,2240,2378713,355911988650,150250,147000,150250,0,0,149620,-630,-0.42,147000,150800
ثرود,سرمايه‌گذاري مسكن زاينده رود,2222,13794702,231420330880,15940,16790,17050,1110,6.96,16780,840,5.27,16130,17050
اتوآگاه,صندوق س صنايع آگاه2-بخشي,2183,22766769,228403600300,9990,10050,10020,30,0.3,10030,40,0.4,10010,10090
بمولد,مولد نيروگاهي تجارت فارس,2137,4841843,26126008480,5350,5330,5430,80,1.5,5400,50,0.93,5330,5470
شسينا,صنايع‌شيميايي‌سينا,2131,27253244,142852251000,5260,5300,5220,-40,-0.76,5240,-20,-0.38,5160,5420
گدنا,تهيه توزيع غذاي دنا آفرين فدك,2119,10931090,91974798930,8330,8540,8350,20,0.24,8410,80,0.96,8300,8560
فاذر,صنايع‌ آذرآب‌,2095,60975240,115419254385,1878,1893,1886,8,0.43,1893,15,0.8,1860,1943
خلنت,لنت‌ ترمزايران‌,2088,12176649,311238731220,23960,25630,25630,1670,6.97,25560,1600,6.68,24610,25630
خزر,فنرسازي‌زر,2043,39636590,262749932780,6290,6210,6720,430,6.84,6630,340,5.41,6210,6730
مثقال,صندوق س.پشتوانه طلاي زرين آگاه,1995,10073083,226948552781,22399,22500,22563,164,0.73,22530,131,0.58,22480,22600
فرابورس,فرابورس ايران,1988,13757416,121588099440,8760,8830,8720,-40,-0.46,8840,80,0.91,8690,9050
شفارس,صنايع‌ شيميايي‌ فارس‌,1973,67345534,150681688985,2237,2260,2267,30,1.34,2237,0,0,2196,2290
نيان,نيان الكترونيك,1949,154349,24813037250,160000,159250,160050,50,0.03,160750,750,0.47,159200,161900
كسرام,پارس‌ سرام‌,1941,24266138,271835673500,10710,11210,11010,300,2.8,11200,490,4.58,10820,11240
كترام,توليدي‌ كاشي‌ تكسرام‌,1925,18487702,148266033180,7650,7800,7950,300,3.92,8020,370,4.84,7800,8140
خمهر,مهركام‌پارس‌,1919,33723346,117622743190,3495,3530,3438,-57,-1.63,3488,-7,-0.2,3415,3590
ارزش مسكن,ص.س.املاك ومستغلات ارزش مسكن,1918,3019205,36719937560,11929,11979,12268,339,2.84,12162,233,1.95,11979,12277
حكشتي,كشتيراني جمهوري اسلامي ايران,1908,13737416,173871851480,12590,12620,12540,-50,-0.4,12660,70,0.56,12490,12820
كمند,صندوق س. با درآمد ثابت كمند,1854,118378142,1202390159117,10145,10157,10157,12,0.12,10157,12,0.12,10157,10158
