 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1402/10/6,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
داتام,گروه مالي داتام,1173751,999997297,1549995810350,1000,1550,1550,550,55,1550,550,55,1550,1550
فصبا,صبا فولاد خليج فارس,22475,3162822,20232081640,6510,6400,6400,-110,-1.69,6490,-20,-0.31,6370,6430
تكاردان,تامين سرمايه كاردان,13511,7357359,19303915729,2656,2607,2624,-32,-1.2,2632,-24,-0.9,2603,2651
اهرم,صندوق س سهامي كاريزما- اهرمي,13115,167053757,3525442259750,20900,20800,21330,430,2.06,21100,200,0.96,20800,21340
كروميت,توسعه معادن كروميت كاوندگان,13087,26868374,368563036110,13190,13520,13840,650,4.93,13720,530,4.02,13190,13840
فن افزار,توسعه فن افزار توسن,10479,8379723,119454440790,13890,13710,14280,390,2.81,14260,370,2.66,13710,14510
دي,بانك دي,10235,811102676,870413473653,1069,1080,1087,18,1.68,1073,4,0.37,1069,1089
افران,صندوق س افرا نماد پايدار-ثابت,10231,274418192,6528748331166,23751,23791,23792,41,0.17,23791,40,0.17,23791,23792
بمولد,مولد نيروگاهي تجارت فارس,9539,9511174,50901079190,5420,5470,5320,-100,-1.85,5350,-70,-1.29,5300,5470
ياقوت,صندوق س ياقوت آگاه-ثابت,7884,264485555,5585203095670,21089,21117,21118,29,0.14,21117,28,0.13,21117,21119
شهر,گروه مالي شهر,6975,63598497,126808622363,2021,2009,2022,1,0.05,1994,-27,-1.34,1976,2022
پالايش,صندوق پالايشي يكم-سهام,6941,3524527,508009600520,143780,143080,144800,1020,0.71,144140,360,0.25,143080,144980
ضخود1074,اختيارخ خودرو-2600-1402/10/06,6848,2439956,263528854000,127,100,131,4,3.15,108,-19,-14.96,91,240
خاور,ايران خودرو ديزل,6665,165455251,639743247733,3716,3750,3898,182,4.9,3867,151,4.06,3677,3936
كتوسعه,توسعه صنايع و معادن كوثر,6568,2838002,58714425600,20350,20250,20850,500,2.46,20700,350,1.72,20050,21500
دارا يكم,صندوق واسطه گري مالي يكم-سهام,6430,3088201,552052138640,179040,178010,179640,600,0.34,178760,-280,-0.16,177110,179820
نيان,نيان الكترونيك,6083,236842,37892159500,160250,159450,159400,-850,-0.53,160000,-250,-0.16,159200,162000
جهش,صندوق سهامي جهش فارابي-اهرمي,5685,70418815,846907009080,11940,11710,12290,350,2.93,12030,90,0.75,11710,12440
شتاب,صندوق س سهامي شتاب آگاه-اهرمي,5545,78662148,794707525160,10050,10000,10200,150,1.49,10100,50,0.5,9960,10210
ثشاهد,سرمايه‌ گذاري‌ شاهد,5247,29054047,488857687580,16700,16400,16830,130,0.78,16830,130,0.78,16360,17100
ضخود1075,اختيارخ خودرو-2800-1402/10/06,5184,2216762,7368324000,13,7,1,-12,-92.31,3,-10,-76.92,1,9
تسه1402,امتيازتسهيلات مسكن سال1402,5054,398581,483912606860,1212923,1214000,1210000,-2923,-0.24,1214088,1165,0.1,1200003,1220000
فولاد,فولاد مباركه اصفهان,4970,123557080,768386352510,6210,6270,6220,10,0.16,6220,10,0.16,6190,6270
خزاميا,زامياد,4951,74288217,460465920320,6250,6150,6190,-60,-0.96,6200,-50,-0.8,6030,6330
خودرو,ايران‌ خودرو,4927,166270066,452876870198,2736,2715,2732,-4,-0.15,2724,-12,-0.44,2698,2739
كارا,صندوق س. كارا -د,4522,179073041,2949235906205,16454,16467,16476,22,0.13,16469,15,0.09,16465,16476
شستا,سرمايه گذاري تامين اجتماعي,4408,236252047,298511564790,1262,1246,1272,10,0.79,1264,2,0.16,1246,1275
ضخود1122,اختيارخ خودرو-3000-1402/11/11,4347,1512599,148449251000,100,90,98,-2,-2,98,-2,-2,85,106
نطرين,عطرين نخ قم,4326,31913705,615159156120,18130,17300,19390,1260,6.95,19280,1150,6.34,17300,19390
عاليس,بهار رز عاليس چناران,4227,1214420,25878591200,21450,21150,21550,100,0.47,21300,-150,-0.7,21150,21750
زماهان,مجتمع توليد گوشت مرغ ماهان,4220,29806718,400193574890,12760,12760,13650,890,6.97,13430,670,5.25,12450,13650
