 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1402/10/2,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
دي,بانك دي,21905,1658090827,1770778820644,1000,1089,1064,64,6.4,1068,68,6.8,1057,1119
كروميت,توسعه معادن كروميت كاوندگان,17801,76610745,996189539570,12550,12940,12700,150,1.2,13000,450,3.59,12500,13170
اهرم,صندوق س سهامي كاريزما- اهرمي,11348,120413172,2616918044630,21630,21570,21620,-10,-0.05,21730,100,0.46,21450,21950
دارا يكم,صندوق واسطه گري مالي يكم-سهام,9405,7645507,1367886108350,177100,177450,178750,1650,0.93,178910,1810,1.02,176160,180850
تسه1402,امتيازتسهيلات مسكن سال1402,9207,579747,681234700824,1177937,1178000,1183000,5063,0.43,1175055,-2882,-0.24,1145000,1200000
پالايش,صندوق پالايشي يكم-سهام,7879,5401785,794810648920,147180,146700,146820,-360,-0.24,147140,-40,-0.03,146500,147980
فصبا,صبا فولاد خليج فارس,7309,3837849,24945576530,6580,6580,6490,-90,-1.37,6560,-20,-0.3,6470,6580
افران,صندوق س افرا نماد پايدار-ثابت,7225,241099411,5714837922654,23680,23703,23704,24,0.1,23703,23,0.1,23703,23704
هماي,صندوق س هماي آگاه-ثابت,6859,235491598,2358095785963,10200,10014,10014,-186,-1.82,10014,-186,-1.82,10013,10014
ثشاهد,سرمايه‌ گذاري‌ شاهد,6739,39899509,711824437810,17860,17030,18080,220,1.23,17840,-20,-0.11,17030,18380
ياقوت,صندوق س ياقوت آگاه-ثابت,6596,220439516,4639656385699,21020,21047,21048,28,0.13,21047,27,0.13,21047,21049
نطرين,عطرين نخ قم,6397,32209142,595167926050,17370,17510,18580,1210,6.97,18480,1110,6.39,17510,18580
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,6146,159483168,775062092402,4767,4730,4819,52,1.09,4860,93,1.95,4720,4970
تكاردان,تامين سرمايه كاردان,6029,36461577,99413064503,2744,2773,2690,-54,-1.97,2727,-17,-0.62,2686,2773
سلام2,صندوق س سلام فارابي-سهام,6004,60032580,60032580,16740,1,1,-16739,-99.99,1,-16739,-99.99,1,1
حفارس,حمل و نقل بين المللي خليج فارس,5688,218298588,414768123139,1970,1970,1893,-77,-3.91,1900,-70,-3.55,1872,1979
جهش,صندوق سهامي جهش فارابي-اهرمي,5617,85123434,1090394615940,12590,12580,12710,120,0.95,12810,220,1.75,12480,13100
