 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1402/10/3,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
كروميت,توسعه معادن كروميت كاوندگان,21804,48162726,598081218260,13000,12660,12420,-580,-4.46,12420,-580,-4.46,12350,12750
اهرم,صندوق س سهامي كاريزما- اهرمي,14521,134327686,2854168929260,21730,21670,21020,-710,-3.27,21250,-480,-2.21,20930,21720
شهر,گروه مالي شهر,7979,190261194,389101956859,1983,2020,2040,57,2.87,2045,62,3.13,2004,2079
تسه1402,امتيازتسهيلات مسكن سال1402,7941,471900,567925482091,1175055,1176001,1203000,27945,2.38,1203487,28432,2.42,1176001,1214000
دي,بانك دي,7858,547934313,575842148896,1068,1070,1037,-31,-2.9,1051,-17,-1.59,1036,1080
نطرين,عطرين نخ قم,7803,33765982,664521645280,18480,19000,19000,520,2.81,19680,1200,6.49,18800,19770
فصبا,صبا فولاد خليج فارس,7452,4561100,29445681580,6560,6480,6460,-100,-1.52,6530,-30,-0.46,6430,6500
پالايش,صندوق پالايشي يكم-سهام,6646,3609583,526851197080,147140,146630,145290,-1850,-1.26,145960,-1180,-0.8,145200,147000
جهش,صندوق سهامي جهش فارابي-اهرمي,6299,54183962,671143223650,12810,12690,12290,-520,-4.06,12390,-420,-3.28,12140,12750
ثشاهد,سرمايه‌ گذاري‌ شاهد,5867,37197297,674894915450,17840,18180,17980,140,0.78,18140,300,1.68,17840,18650
وخارزم,سرمايه گذاري خوارزمي,5802,160205228,320741597107,2043,2037,1995,-48,-2.35,2002,-41,-2.01,1990,2038
خزاميا,زامياد,5704,85533555,536133499020,6170,6200,6200,30,0.49,6270,100,1.62,6150,6340
دارا يكم,صندوق واسطه گري مالي يكم-سهام,5640,4119026,737007551880,178910,178910,178670,-240,-0.13,178930,20,0.01,178210,179880
افران,صندوق س افرا نماد پايدار-ثابت,5623,129812876,3079090255171,23703,23719,23720,17,0.07,23719,16,0.07,23719,23720
ياقوت,صندوق س ياقوت آگاه-ثابت,5607,138318345,2913190754977,21047,21061,21063,16,0.08,21061,14,0.07,21061,21063
فولاد,فولاد مباركه اصفهان,5589,140109578,883284123080,6350,6340,6280,-70,-1.1,6300,-50,-0.79,6250,6370
ضخود1075,اختيارخ خودرو-2800-1402/10/06,5423,1783741,60083792000,64,56,23,-41,-64.06,34,-30,-46.88,22,59
شتاب,صندوق س سهامي شتاب آگاه-اهرمي,5273,51105547,519197475650,10310,10280,10090,-220,-2.13,10160,-150,-1.45,10060,10280
وسديد,گروه ‌صنعتي‌سديد,5189,144599231,736642291546,4962,5110,5110,148,2.98,5094,132,2.66,4980,5110
كمرجان,بازرگاني و توليدي مرجان كار,4924,45526775,493653122280,10160,10680,10800,640,6.3,10840,680,6.69,10250,10870
ذوب,ذوب آهن اصفهان,4805,145414360,675530122852,4586,4552,4690,104,2.27,4646,60,1.31,4480,4700
تكاردان,تامين سرمايه كاردان,4784,10348561,27697928946,2727,2674,2683,-44,-1.61,2677,-50,-1.83,2645,2720
وبملت,بانك ملت,4647,224518525,1079067651651,4803,4754,4823,20,0.42,4806,3,0.06,4754,4846
